id|fuente|fecha_creacion|id_autor|sensible|idioma|cant_retweets|cant_respuestas|cant_likes
1466890415823630341|Twitter for Android|2021-12-03 22:01:43+00:00|924698771312791554|False|ca|16|0|0
1466890412082307074|Twitter Web App|2021-12-03 22:01:42+00:00|206254639|False|es|0|0|0
1466890408869478401|Twitter for Android|2021-12-03 22:01:41+00:00|145064642|False|es|1181|0|0
1466890408483606528|Twitter for Android|2021-12-03 22:01:41+00:00|559848497|False|es|0|10|28
1466890401659244545|Twitter Web App|2021-12-03 22:01:39+00:00|126149034|False|es|37|0|0
1466890398014611462|Twitter for Android|2021-12-03 22:01:39+00:00|1357449942994927616|False|tr|0|1|0
1466890392754954244|Besocy_Oficial|2021-12-03 22:01:37+00:00|373535898|False|es|0|0|0
1466890384840302596|Twitter for Android|2021-12-03 22:01:35+00:00|1352468542306848769|False|es|0|1|1
1466890380268474368|Twitter for Android|2021-12-03 22:01:34+00:00|1388338846002159616|False|es|6|0|0
1466890379614199816|Twitter Web App|2021-12-03 22:01:34+00:00|449418413|False|es|0|0|1
1466890377772814338|Twitter for Android|2021-12-03 22:01:34+00:00|172178830|False|es|771|0|0
1466890368998252547|Twitter for Android|2021-12-03 22:01:32+00:00|1287372989881888771|False|es|0|0|2
1466890368629182465|Twitter for iPhone|2021-12-03 22:01:32+00:00|145824740|False|es|155|0|0
1466890368180441093|Twitter for Android|2021-12-03 22:01:31+00:00|1516770174|False|es|297|0|0
1466890365496004608|Twitter Web App|2021-12-03 22:01:31+00:00|1400195685820125185|False|es|0|0|0
1466890359619960840|Twitter for Android|2021-12-03 22:01:29+00:00|3193348170|False|es|22|0|0
1466890357753270278|Twitter for Android|2021-12-03 22:01:29+00:00|1277121707736735744|False|es|1899|0|0
1466890352615428099|Twitter for Android|2021-12-03 22:01:28+00:00|1959052712|False|tr|0|0|0
1466890347657805824|TweetDeck|2021-12-03 22:01:27+00:00|476287933|False|es|4|0|0
1466890347640938506|TweetDeck|2021-12-03 22:01:27+00:00|3130762385|False|es|4|0|0
1466890347360002048|Twitter for Android|2021-12-03 22:01:26+00:00|1388338846002159616|False|es|3|0|0
1466890339801784330|Besocy_Oficial|2021-12-03 22:01:25+00:00|15581283|False|es|1|2|6
1466890338484858890|Twitter for Android|2021-12-03 22:01:24+00:00|177273579|False|es|2|0|0
1466890337797001216|TweetDeck|2021-12-03 22:01:24+00:00|384999359|False|es|4|0|0
1466890337117421569|Twitter for iPhone|2021-12-03 22:01:24+00:00|146845367|False|es|1899|0|0
1466890334827384836|Twitter Web App|2021-12-03 22:01:23+00:00|125429168|False|es|0|0|3
1466890328430944264|Twitter for Android|2021-12-03 22:01:22+00:00|849294012|False|es|148|0|0
1466890323301388290|Twitter for Android|2021-12-03 22:01:21+00:00|975937993788796928|False|es|23|0|0
1466890319320997889|Twitter for Android|2021-12-03 22:01:20+00:00|197608462|False|es|10|0|0
